iter	Passed	Remaining
399	28156	42234
400	28216	42148
401	28283	42073
402	28343	41987
403	28401	41899
404	28459	41811
405	28519	41725
406	28581	41642
407	28641	41557
408	28699	41471
409	28757	41383
410	28817	41297
411	28875	41211
412	28935	41125
413	28994	41041
414	29057	40960
415	29117	40876
416	29178	40794
417	29241	40714
418	29301	40630
419	29360	40545
420	29420	40461
421	29479	40376
422	29537	40291
423	29599	40210
424	29660	40128
425	29718	40043
426	29777	39959
427	29836	39875
428	29920	39824
429	29985	39748
430	30041	39659
431	30114	39595
432	30175	39514
433	30236	39433
434	30296	39350
435	30356	39268
436	30415	39185
437	30474	39102
438	30532	39017
439	30589	38932
440	30654	38856
441	30715	38776
442	30773	38692
443	30832	38609
444	30889	38525
445	30950	38445
446	31011	38365
447	31070	38283
448	31130	38202
449	31188	38119
450	31249	38039
451	31308	37957
452	31367	37876
453	31423	37791
454	31480	37707
455	31539	37625
456	31601	37547
457	31659	37466
458	31720	37387
459	31782	37310
460	31841	37229
461	31902	37151
462	31962	37070
463	32019	36988
464	32077	36906
465	32135	36824
466	32193	36742
467	32250	36661
468	32319	36591
469	32379	36512
470	32437	36432
471	32497	36352
472	32557	36273
473	32616	36194
474	32672	36112
475	32731	36031
476	32789	35952
477	32851	35875
478	32910	35796
479	32969	35716
480	33026	35636
481	33085	35556
482	33145	35478
483	33202	35397
484	33296	35356
485	33357	35279
486	33416	35200
487	33473	35119
488	33533	35042
489	33590	34961
490	33647	34881
491	33704	34801
492	33766	34725
493	33826	34648
494	33888	34573
495	33950	34498
496	34009	34420
497	34068	34342
498	34128	34265
499	34188	34188
500	34249	34112
501	34315	34042
502	34377	33967
503	34441	33894
504	34502	33819
505	34563	33744
506	34625	33669
507	34688	33595
508	34747	33518
509	34809	33444
510	34869	33367
511	34944	33306
512	35005	33230
513	35065	33154
514	35133	33087
515	35206	33022
516	35268	32948
517	35340	32884
518	35403	32811
519	35464	32736
520	35522	32659
521	35582	32583
522	35640	32505
523	35698	32428
524	35759	32353
525	35819	32278
526	35879	32203
527	35940	32128
528	36002	32054
529	36062	31979
530	36122	31905
531	36182	31829
532	36241	31754
533	36305	31681
534	36362	31605
535	36423	31531
536	36484	31457
537	36546	31384
538	36608	31310
539	36668	31236
540	36728	31161
541	36788	31087
542	36848	31012
543	36906	30936
544	36964	30859
545	37025	30786
546	37088	30715
547	37148	30640
548	37208	30566
549	37270	30493
550	37330	30420
551	37391	30346
552	37450	30271
553	37509	30196
554	37570	30124
555	37629	30049
556	37688	29975
557	37749	29901
558	37808	29827
559	37867	29752
560	37926	29678
561	37983	29602
562	38042	29528
563	38103	29455
564	38163	29382
565	38224	29309
566	38288	29239
567	38346	29165
568	38405	29090
569	38464	29016
570	38524	28943
571	38582	28869
572	38643	28797
573	38704	28725
