iter	RMSE
290	558.2906921
291	558.1486478
292	558.0123583
293	556.9429785
294	555.8974991
295	554.8664509
296	554.8297225
297	553.8236247
298	552.8384276
299	552.1239538
300	552.0091191
301	551.8732946
302	551.7414365
303	551.6130226
304	551.4894116
305	550.546294
306	550.2965985
307	549.3699309
308	549.2493944
309	549.1306884
310	548.2269357
311	548.1306949
312	547.9102099
313	547.9011643
314	547.7791793
315	547.5778449
316	546.6984231
317	546.5328768
318	545.504886
319	545.393691
320	545.2854085
321	545.1174948
322	544.2567397
323	544.2509437
324	543.4112903
325	542.4163725
326	541.5059064
327	541.4041335
328	541.2990066
329	540.4449592
330	540.3499594
331	539.5253108
332	538.6929366
333	537.8864446
334	537.0992513
335	536.3394334
336	535.5949809
337	534.892358
338	534.2286154
339	533.4562245
340	533.3734661
341	533.2930035
342	533.2146484
343	532.4605994
344	531.8377858
345	531.8349436
346	531.0980665
347	530.5094871
348	530.5083872
349	530.5062464
350	529.9509783
351	529.8748775
352	529.3525211
353	528.8593717
354	528.0551563
355	527.9923959
356	527.5288664
357	527.0916187
358	526.6788833
359	526.6199894
360	525.8413896
361	525.3057042
362	525.242307
363	524.4967054
364	524.1107787
365	523.3843281
366	523.3750072
367	522.6664232
368	522.6102674
369	522.3956898
370	522.1832769
371	522.1273033
372	521.3525001
373	520.9928475
374	520.6532219
375	520.3331334
376	520.282028
377	519.6515142
378	519.0845619
379	518.7824786
380	518.1656475
381	517.5641229
382	517.5153759
383	517.4729694
384	517.1891518
385	516.9215651
386	516.2830394
387	516.0308218
388	515.4085463
389	514.5277412
390	514.4883109
391	514.4478484
392	514.2116445
393	514.1732022
394	513.9510929
395	513.346543
396	513.1374207
397	512.5481632
398	512.3512734
399	512.3195213
400	512.1027275
401	511.9175178
402	511.8855098
403	511.8544738
404	511.6798091
405	511.6513986
406	511.478406
407	511.2208298
408	511.192114
409	511.0373072
410	510.8745179
411	510.7922265
412	510.7177085
413	510.6904078
414	510.5372961
415	510.5129267
416	510.3689604
417	510.3442131
418	510.1154675
419	510.0914597
420	510.0696368
421	510.0043239
422	509.9816559
423	509.9596691
424	509.9005237
425	509.8805493
426	509.8597817
427	509.8396344
428	509.8200871
429	509.6880914
430	509.3647624
431	509.3126647
432	509.1881151
433	509.1710708
434	509.1238816
435	509.107298
436	509.0900133
437	508.8936788
438	508.7145914
439	508.490913
440	508.4462498
441	508.4046869
442	508.288625
443	508.2739669
444	508.2598752
445	508.2220419
446	508.2075215
447	508.0991998
448	507.99712
449	507.9846782
450	507.9503968
451	506.8113824
452	506.7984539
453	506.771437
454	506.5698646
455	506.4743074
456	506.4431929
457	505.3605838
458	505.331595
459	505.2416278
460	505.2313984
461	505.2204311
462	505.201592
463	505.1921535
464	505.1819878
465	505.1735439
466	504.1423473
467	504.1294484
468	504.1212364
469	504.0376939
470	503.9590183
471	503.951412
472	503.8774883
473	503.80786
474	503.8008114
475	503.7279624
476	503.7198702
477	503.6540754
478	503.5803046
479	503.572983
480	503.1808569
481	503.1132635
482	503.0511944
483	503.045275
484	502.9884013
485	502.9827894
486	502.9306644
487	502.9253401
488	502.5483875
489	502.1861546
490	502.1383178
491	502.1324966
492	501.784392
493	501.4498847
494	501.4449582
495	501.1235166
496	500.8146346
497	500.8098415
498	500.8045256
499	500.507717
500	500.5031778
501	500.2179668
502	499.9439043
503	499.900326
504	499.6369575
505	499.3838865
506	499.3602189
507	499.3198938
508	499.3152452
509	499.0720529
510	498.8383718
511	498.6138308
512	498.6098008
513	498.6058826
514	498.5841676
515	498.5800105
516	498.5601355
517	498.3479604
518	498.3444205
519	498.3409766
520	498.2027064
521	498.1989749
522	498.0065974
523	497.7905929
524	497.6152563
525	497.6119768
526	497.4043439
527	497.4011496
528	497.2413418
529	497.1129454
530	496.9829921
531	496.9329908
532	496.8237373
533	496.6239912
534	496.616283
535	496.61316
536	496.5083758
537	496.5050185
538	496.3636434
539	496.1716054
540	496.1686328
541	496.1657407
542	495.9812109
543	495.937413
544	495.9343194
545	495.822402
546	495.8196482
547	495.7806975
548	495.6033173
549	495.6006319
550	495.4301912
551	495.4273326
552	495.2635659
553	495.2610096
554	495.258522
555	495.1011595
556	494.9499581
557	494.8046768
558	494.8020473
559	494.7518736
560	494.6122697
561	494.4781325
562	494.3492483
563	494.3305506
564	494.328223
565	494.309106
566	494.2947457
567	494.2491918
568	494.1253252
569	494.0063099
570	494.0041357
571	494.0018927
572	493.9998279
573	493.8854684
574	493.7755881
575	493.7600146
576	493.7580398
577	493.7437269
578	493.6381337
579	493.6362469
580	493.463945
581	493.4620253
582	492.6905382
583	492.6887439
584	492.6626646
585	492.6488121
586	492.6323038
587	492.6173924
588	492.550999
589	492.5377962
590	492.4778024
591	492.4659985
592	492.464279
593	492.4625521
594	491.7343334
595	491.7202525
596	491.7186529
597	491.7079157
598	491.5589202
599	491.5492214
600	491.5476596
601	491.4938676
602	490.8098235
603	490.7616064
604	490.7600463
605	490.7511122
606	490.741814
607	490.7403589
608	490.73229
609	490.7250017
610	490.680733
611	490.64099
612	490.6169963
613	490.6155828
614	490.5932338
615	490.5807464
616	489.4394946
617	489.2912072
618	489.2556014
619	489.2234101
620	488.1257504
621	488.1244446
622	487.9870859
623	487.9350823
624	487.9295546
625	487.9219977
626	487.8747582
627	487.8454125
628	487.8401512
629	487.8045516
630	487.7995791
631	487.7727546
632	487.7680173
633	487.744031
634	487.739519
635	487.7178314
636	487.5918113
637	487.5874827
638	487.470789
639	487.4511806
640	486.3994772
641	486.3818908
642	486.3659888
643	486.3618285
644	486.25348
645	486.2116588
646	485.8768757
647	485.8693275
648	485.8653428
649	484.8548329
650	484.5277547
651	484.4273574
652	484.4235508
653	484.3321136
654	484.2488322
655	484.2343306
656	484.2248583
657	484.2163015
658	483.8971865
659	483.8833591
660	483.8708544
661	483.859546
662	483.7835624
663	483.7799254
664	483.7711613
665	483.5990091
666	483.595617
667	483.2560526
668	483.24543
669	483.2421917
670	483.2390281
671	482.9274825
672	482.8559486
673	482.790792
674	482.7811163
675	482.7217399
676	482.7132801
677	482.7102559
678	482.7011384
679	482.6470434
680	482.5977714
681	482.2937729
682	482.2854634
683	481.895502
684	481.8871268
685	481.8843039
686	481.8816093
687	481.8739167
688	481.8113877
689	481.8044259
690	481.5264009
691	481.5201209
692	481.4757994
693	481.210696
694	480.9756587
695	480.9699612
696	480.964807
697	480.9621665
698	480.7460154
699	480.6354702
700	480.5357723
701	480.4500875
702	480.3677661
703	480.2411046
704	480.1619957
705	480.1377284
706	480.1285099
707	480.0524944
708	480.0500858
709	480.0370745
710	480.0287599
711	480.0264922
712	479.827931
713	479.7260433
714	479.6529472
715	479.650756
716	479.6486618
717	479.5540795
718	479.5072681
719	479.1543567
720	479.1329523
721	479.0626336
722	478.7366062
723	478.7345603
724	478.7326679
725	478.6650563
726	478.6631788
727	478.5754555
728	478.299074
729	478.2727418
730	478.2362087
731	478.2296994
732	477.9603092
733	477.661533
734	477.6608659
735	477.6013134
736	477.595885
737	477.5386659
738	477.5380184
739	477.5322268
740	477.5080419
741	477.5016856
742	477.2257851
743	477.2140803
744	477.2134765
745	477.1849227
746	477.1299186
747	477.1251295
748	477.1017833
749	476.9719028
750	476.8917526
751	476.8401948
752	476.7906576
753	476.7863051
754	476.7809655
755	476.7803866
756	476.6957315
757	476.6914514
758	476.6857166
759	476.6805355
760	476.6037276
761	476.3562827
762	476.2852933
763	476.2399058
764	476.2139124
765	476.1902831
766	476.186666
767	476.1833929
768	476.1790434
769	476.1354294
770	476.1140086
771	475.8660531
772	475.7998557
773	475.7813559
774	475.7773722
775	475.776824
776	475.7731509
777	475.7697604
778	475.7278211
779	475.6940205
780	474.3822264
781	474.3775325
782	474.359165
783	474.3549199
784	474.3543916
785	474.351328
786	474.333036
787	474.0973482
788	474.0935844
789	474.0551796
790	474.0182786
791	473.9684028
792	473.9466887
793	472.6868916
794	472.6824823
795	472.6663848
796	472.6633028
797	472.5631122
798	472.5276191
799	472.4935145
800	471.980583
801	471.9477769
802	470.7566766
803	470.7250744
804	470.6148495
805	470.5844757
806	470.5538331
807	470.5260599
808	470.5165484
809	470.4913711
810	470.0330562
811	470.0295975
812	470.0005126
813	469.9553484
814	469.3986745
815	469.2725114
816	469.2582587
817	469.2300988
818	469.2115866
819	469.1833301
820	469.1562645
821	468.0494941
822	468.039815
823	468.0317378
824	467.7999656
825	467.7838923
826	467.7691519
827	467.7558463
828	467.6649153
829	467.6388037
830	467.2366791
831	467.1879122
832	467.173174
833	467.1480566
834	467.1431771
835	466.8862137
836	466.5135081
837	466.1675199
838	466.1433381
839	464.6899274
840	464.3677379
841	464.1385707
842	463.8393519
843	463.8159933
844	463.7935457
845	463.5035851
846	463.2256357
847	463.1318834
848	463.110277
849	463.0241003
850	463.0110829
851	462.0557987
852	461.9789619
853	461.0629714
854	461.0591504
855	461.0483213
856	461.0313701
857	460.8762548
858	460.8630696
859	460.7723468
860	460.7620868
861	460.7584869
862	460.74887
863	460.7398467
864	460.731373
865	460.7234085
866	460.7200402
867	460.7168853
868	460.688933
869	460.6680286
870	459.7873797
871	458.9408705
872	458.9207012
873	458.9090685
874	458.889686
875	458.8825554
876	458.875838
877	458.8728614
878	458.8665277
879	458.8478897
880	458.8360714
881	458.8025287
882	458.7400756
883	458.7367966
884	458.7363368
885	458.7303465
886	458.7271821
887	458.6631966
888	458.6575472
889	458.6485438
890	457.740511
891	456.9311497
892	456.9213596
893	456.9033563
894	456.8860548
895	456.1080743
896	456.1047028
897	456.0996073
898	456.094786
899	456.0835978
900	456.0790278
901	456.0531904
902	455.9611717
903	455.9568413
904	455.9455111
905	455.9414015
906	455.9375034
907	455.9338038
908	455.7238346
909	455.4803747
910	454.6294904
911	454.3634758
912	454.355409
913	454.3397266
914	454.3225694
915	454.0465085
916	454.046063
917	453.9606379
918	453.9502597
919	453.94655
920	453.4533199
921	453.4385654
922	453.4244282
923	453.4108805
924	453.331038
925	453.3262985
926	453.3135387
927	453.3005836
928	453.048907
929	453.0385702
930	452.8285163
931	452.7556864
932	452.5699615
933	452.5568862
934	452.5419947
935	452.4927896
936	452.4115409
937	452.1564053
938	452.1450135
939	452.1411868
940	451.3979781
941	451.3943576
942	450.6801299
943	450.6662541
944	450.6531347
945	450.6407257
946	449.262528
947	449.2592027
948	449.2369579
949	449.236633
950	447.8902485
951	447.8784451
952	447.7106598
953	447.7079676
954	447.7077166
955	447.0168817
956	447.0057281
957	446.0193954
958	445.3540004
959	445.3510833
960	445.3483022
961	445.3377049
962	445.3350503
963	445.266428
964	445.2061399
965	445.2036044
966	444.2537079
967	444.2436781
968	442.9711282
969	442.9688832
970	442.966741
971	442.0740723
972	441.4315962
973	441.4289006
974	441.4269407
975	440.8094765
976	440.8076105
977	440.7428442
978	440.1493793
979	440.0887569
980	439.518367
981	439.4679863
982	439.4662044
983	439.4622398
984	439.4267436
985	439.3700034
986	438.8233202
987	438.7785967
988	438.7374911
989	438.7333505
990	438.7135416
991	438.6997145
992	438.6950358
993	438.6632582
994	437.431696
995	436.9072838
996	436.905639
997	436.8913002
998	436.3874044
999	436.3742537
